# t x1 v1 x2 v2 E_kin E_pot E_tot
0.00000 0.00000 1.00000 0.00000 0.00000 0.50000 0.00000 0.50000
0.01000 0.01000 0.99993 0.00000 0.00002 0.49993 0.00007 0.50000
0.02000 0.02000 0.99970 0.00000 0.00010 0.49970 0.00030 0.50000
0.03000 0.02999 0.99933 0.00000 0.00022 0.49933 0.00067 0.50000
0.04000 0.03998 0.99880 0.00001 0.00040 0.49880 0.00120 0.50000
0.05000 0.04997 0.99813 0.00001 0.00062 0.49813 0.00187 0.50000
0.06000 0.05995 0.99730 0.00002 0.00090 0.49731 0.00269 0.50000
0.07000 0.06991 0.99633 0.00003 0.00122 0.49633 0.00367 0.50000
0.08000 0.07987 0.99520 0.00004 0.00160 0.49522 0.00478 0.50000
0.09000 0.08982 0.99393 0.00006 0.00202 0.49395 0.00605 0.50000
0.10000 0.09975 0.99251 0.00008 0.00249 0.49254 0.00746 0.50000
0.11000 0.10967 0.99094 0.00011 0.00302 0.49099 0.00901 0.50000
0.12000 0.11957 0.98922 0.00014 0.00359 0.48929 0.01071 0.50000
0.13000 0.12945 0.98735 0.00018 0.00421 0.48744 0.01256 0.50000
0.14000 0.13932 0.98534 0.00023 0.00488 0.48546 0.01454 0.50000
0.15000 0.14916 0.98318 0.00028 0.00559 0.48333 0.01667 0.50000
0.16000 0.15898 0.98087 0.00034 0.00636 0.48107 0.01893 0.50000
0.17000 0.16877 0.97841 0.00041 0.00717 0.47867 0.02133 0.50000
0.18000 0.17855 0.97581 0.00048 0.00803 0.47613 0.02387 0.50000
0.19000 0.18829 0.97306 0.00057 0.00894 0.47346 0.02654 0.50000
0.20000 0.19801 0.97017 0.00066 0.00990 0.47066 0.02934 0.50000
0.21000 0.20769 0.96713 0.00077 0.01090 0.46773 0.03227 0.50000
0.22000 0.21735 0.96394 0.00088 0.01195 0.46466 0.03534 0.50000
0.23000 0.22697 0.96062 0.00101 0.01305 0.46148 0.03852 0.50000
0.24000 0.23656 0.95714 0.00114 0.01419 0.45816 0.04184 0.50000
0.25000 0.24611 0.95353 0.00129 0.01538 0.45473 0.04527 0.50000
0.26000 0.25563 0.94977 0.00145 0.01662 0.45117 0.04883 0.50000
0.27000 0.26511 0.94588 0.00162 0.01789 0.44750 0.05250 0.50000
0.28000 0.27455 0.94184 0.00181 0.01922 0.44371 0.05629 0.50000
0.29000 0.28395 0.93766 0.00201 0.02059 0.43981 0.06019 0.50000
0.30000 0.29330 0.93334 0.00222 0.02200 0.43580 0.06420 0.50000
0.31000 0.30261 0.92888 0.00245 0.02345 0.43169 0.06831 0.50000
0.32000 0.31188 0.92429 0.00269 0.02495 0.42746 0.07254 0.50000
0.33000 0.32110 0.91955 0.00295 0.02649 0.42314 0.07686 0.50000
0.34000 0.33027 0.91468 0.00322 0.02807 0.41872 0.08128 0.50000
0.35000 0.33939 0.90968 0.00351 0.02970 0.41420 0.08580 0.50000
0.36000 0.34846 0.90454 0.00381 0.03136 0.40958 0.09042 0.50000
0.37000 0.35748 0.89926 0.00414 0.03307 0.40488 0.09512 0.50000
0.38000 0.36645 0.89385 0.00447 0.03481 0.40009 0.09991 0.50000
0.39000 0.37536 0.88831 0.00483 0.03660 0.39522 0.10478 0.50000
0.40000 0.38421 0.88264 0.00521 0.03842 0.39027 0.10973 0.50000
0.41000 0.39301 0.87684 0.00560 0.04028 0.38523 0.11477 0.50000
0.42000 0.40175 0.87091 0.00601 0.04218 0.38013 0.11987 0.50000
0.43000 0.41043 0.86485 0.00644 0.04412 0.37495 0.12505 0.50000
0.44000 0.41904 0.85866 0.00689 0.04609 0.36971 0.13029 0.50000
0.45000 0.42760 0.85234 0.00737 0.04810 0.36440 0.13560 0.50000
0.46000 0.43609 0.84591 0.00786 0.05015 0.35904 0.14096 0.50000
0.47000 0.44452 0.83934 0.00837 0.05223 0.35361 0.14639 0.50000
0.48000 0.45288 0.83265 0.00890 0.05434 0.34813 0.15187 0.50000
0.49000 0.46117 0.82584 0.00946 0.05649 0.34260 0.15740 0.50000
0.50000 0.46939 0.81891 0.01003 0.05867 0.33703 0.16297 0.50000
0.51000 0.47755 0.81186 0.01063 0.06088 0.33141 0.16859 0.50000
0.52000 0.48563 0.80469 0.01125 0.06313 0.32576 0.17424 0.50000
0.53000 0.49364 0.79741 0.01189 0.06540 0.32007 0.17993 0.50000
0.54000 0.50158 0.79000 0.01256 0.06770 0.31435 0.18565 0.50000
0.55000 0.50944 0.78249 0.01325 0.07004 0.30859 0.19141 0.50000
0.56000 0.51723 0.77485 0.01396 0.07240 0.30282 0.19718 0.50000
0.57000 0.52494 0.76711 0.01469 0.07479 0.29702 0.20298 0.50000
0.58000 0.53257 0.75925 0.01545 0.07721 0.29121 0.20879 0.50000
0.59000 0.54012 0.75129 0.01624 0.07965 0.28539 0.21461 0.50000
0.60000 0.54760 0.74321 0.01705 0.08212 0.27955 0.22045 0.50000
0.61000 0.55499 0.73503 0.01788 0.08462 0.27371 0.22629 0.50000
0.62000 0.56230 0.72674 0.01874 0.08714 0.26787 0.23213 0.50000
0.63000 0.56952 0.71835 0.01962 0.08968 0.26203 0.23797 0.50000
0.64000 0.57666 0.70985 0.02053 0.09224 0.25620 0.24380 0.50000
0.65000 0.58372 0.70125 0.02147 0.09483 0.25038 0.24962 0.50000
0.66000 0.59069 0.69256 0.02243 0.09744 0.24456 0.25544 0.50000
0.67000 0.59757 0.68376 0.02342 0.10006 0.23877 0.26123 0.50000
0.68000 0.60436 0.67486 0.02443 0.10271 0.23300 0.26700 0.50000
0.69000 0.61107 0.66587 0.02547 0.10537 0.22725 0.27275 0.50000
0.70000 0.61768 0.65679 0.02654 0.10806 0.22152 0.27848 0.50000
0.71000 0.62420 0.64761 0.02763 0.11075 0.21583 0.28417 0.50000
0.72000 0.63063 0.63834 0.02875 0.11347 0.21018 0.28982 0.50000
0.73000 0.63697 0.62898 0.02990 0.11620 0.20456 0.29544 0.50000
0.74000 0.64321 0.61953 0.03108 0.11894 0.19898 0.30102 0.50000
0.75000 0.64936 0.60999 0.03228 0.12170 0.19345 0.30655 0.50000
0.76000 0.65541 0.60037 0.03351 0.12446 0.18797 0.31203 0.50000
0.77000 0.66136 0.59067 0.03477 0.12724 0.18254 0.31746 0.50000
0.78000 0.66722 0.58088 0.03606 0.13004 0.17716 0.32284 0.50000
0.79000 0.67298 0.57101 0.03737 0.13284 0.17185 0.32815 0.50000
0.80000 0.67864 0.56106 0.03871 0.13564 0.16660 0.33340 0.50000
0.81000 0.68420 0.55104 0.04008 0.13846 0.16141 0.33859 0.50000
0.82000 0.68966 0.54094 0.04148 0.14128 0.15629 0.34371 0.50000
0.83000 0.69502 0.53076 0.04291 0.14411 0.15124 0.34876 0.50000
